Pos,Name,Value
1,Afghanistan,32564342
2,Albania,3029278
3,Algeria,39542166
4,American Samoa,54343
5,Andorra,85580
6,Angola,19625353
7,Anguilla,16418
8,Antigua and Barbuda,92436
9,Argentina,43431886
10,Armenia,3056382
11,Aruba,112162
12,Australia,22751014
13,Austria,8665550
14,Azerbaijan,9780780
15,"Bahamas, The",324597
16,Bahrain,1346613
17,Bangladesh,168957745
18,Barbados,290604
19,Belarus,9589689
20,Belgium,11323973
21,Belize,347369
22,Benin,10448647
23,Bermuda,70196
24,Bhutan,741919
25,Bolivia,10800882
26,Bosnia and Herzegovina,3867055
27,Botswana,2182719
28,Brazil,204259812
29,British Virgin Islands,33454
30,Brunei,429646
31,Bulgaria,7186893
32,Burkina Faso,18931686
33,Burma,56320206
34,Burundi,10742276
35,Cabo Verde,545993
36,Cambodia,15708756
37,Cameroon,23739218
38,Canada,35099836
39,Cayman Islands,56092
40,Central African Republic,5391539
41,Chad,11631456
42,Chile,17508260
43,China,1367485388
44,Christmas Island,1530
45,Cocos (Keeling) Islands,596
46,Colombia,46736728
47,Comoros,780971
48,"Congo, Democratic Republic of the",79375136
49,"Congo, Republic of the",4755097
50,Cook Islands,9838
51,Costa Rica,4814144
52,Cote d'Ivoire,23295302
53,Croatia,4464844
54,Cuba,11031433
55,Curacao,146836
56,Cyprus,1189197
57,Czech Republic,10644842
58,Denmark,5581503
59,Djibouti,828324
60,Dominica,73607
61,Dominican Republic,10478756
62,Ecuador,15868396
63,Egypt,88487396
64,El Salvador,6141350
65,Equatorial Guinea,740743
66,Eritrea,6527689
67,Estonia,1265420
68,Ethiopia,99465819
69,European Union,513949445
70,Falkland Islands (Islas Malvinas),3361
71,Faroe Islands,50196
72,Fiji,909389
73,Finland,5476922
74,France,66553766
75,French Polynesia,282703
76,Gabon,1705336
77,"Gambia, The",1967709
78,Gaza Strip,1869055
79,Georgia,4931226
80,Germany,80854408
81,Ghana,26327649
82,Gibraltar,29258
83,Greece,10775643
84,Greenland,57733
85,Grenada,110694
86,Guam,161785
87,Guatemala,14918999
88,Guernsey,66080
89,Guinea,11780162
90,Guinea-Bissau,1726170
91,Guyana,735222
92,Haiti,10110019
93,Holy See (Vatican City),842
94,Honduras,8746673
95,Hong Kong,7141106
96,Hungary,9897541
97,Iceland,331918
98,India,1251695584
99,Indonesia,255993674
100,Iran,81824270
101,Iraq,37056169
102,Ireland,4892305
103,Isle of Man,87545
104,Israel,8049314
105,Italy,61855120
106,Jamaica,2950210
107,Japan,126919659
108,Jersey,97294
109,Jordan,8117564
110,Kazakhstan,18157122
111,Kenya,45925301
112,Kiribati,105711
113,"Korea, North",24983205
114,"Korea, South",49115196
115,Kosovo,1870981
116,Kuwait,2788534
117,Kyrgyzstan,5664939
118,Laos,6911544
119,Latvia,1986705
120,Lebanon,6184701
121,Lesotho,1947701
122,Liberia,4195666
123,Libya,6411776
124,Liechtenstein,37624
125,Lithuania,2884433
126,Luxembourg,570252
127,Macau,592731
128,Macedonia,2096015
129,Madagascar,23812681
130,Malawi,17964697
131,Malaysia,30513848
132,Maldives,393253
133,Mali,16955536
134,Malta,413965
135,Marshall Islands,72191
136,Mauritania,3596702
137,Mauritius,1339827
138,Mexico,121736809
139,"Micronesia, Federated States of",105216
140,Moldova,3546847
141,Monaco,30535
142,Mongolia,2992908
143,Montenegro,647073
144,Montserrat,5241
145,Morocco,33322699
146,Mozambique,25303113
147,Namibia,2212307
148,Nauru,9540
149,Nepal,31551305
150,Netherlands,16947904
151,New Caledonia,271615
152,New Zealand,4438393
153,Nicaragua,5907881
154,Niger,18045729
155,Nigeria,181562056
156,Niue,1190
157,Norfolk Island,2210
158,Northern Mariana Islands,52344
159,Norway,5207689
160,Oman,3286936
161,Pakistan,199085847
162,Palau,21265
163,Panama,3657024
164,Papua New Guinea,6672429
165,Paraguay,6783272
166,Peru,30444999
167,Philippines,100998376
168,Pitcairn Islands,48
169,Poland,38562189
170,Portugal,10825309
171,Puerto Rico,3598357
172,Qatar,2194817
173,Romania,21666350
174,Russia,142423773
175,Rwanda,12661733
176,Saint Barthelemy,7237
177,"Saint Helena, Ascension, and Tristan da Cunha",7795
178,Saint Kitts and Nevis,51936
179,Saint Lucia,163922
180,Saint Martin,31754
181,Saint Pierre and Miquelon,5657
182,Saint Vincent and the Grenadines,102627
183,Samoa,197773
184,San Marino,33020
185,Sao Tome and Principe,194006
186,Saudi Arabia,27752316
187,Senegal,13975834
188,Serbia,7176794
189,Seychelles,92430
190,Sierra Leone,5879098
191,Singapore,5674472
192,Sint Maarten,39689
193,Slovakia,5445027
194,Slovenia,1983412
195,Solomon Islands,622469
196,Somalia,10616380
197,South Africa,53675563
198,South Sudan,12042910
199,Spain,48146134
200,Sri Lanka,22053488
201,Sudan,36108853
202,Suriname,579633
203,Svalbard,1872
204,Swaziland,1435613
205,Sweden,9801616
206,Switzerland,8121830
207,Syria,17064854
208,Taiwan,23415126
209,Tajikistan,8191958
210,Tanzania,51045882
211,Thailand,67976405
212,Timor-Leste,1231116
213,Togo,7552318
214,Tokelau,1337
215,Tonga,106501
216,Trinidad and Tobago,1222363
217,Tunisia,11037225
218,Turkey,79414269
219,Turkmenistan,5231422
220,Turks and Caicos Islands,50280
221,Tuvalu,10869
222,Uganda,37101745
223,Ukraine,44429471
224,United Arab Emirates,5779760
225,United Kingdom,64088222
226,United States,321368864
227,Uruguay,3341893
228,Uzbekistan,29199942
229,Vanuatu,272264
230,Venezuela,29275460
231,Vietnam,94348835
232,Virgin Islands,103574
233,Wallis and Futuna,15613
234,West Bank,2785366
235,Western Sahara,570866
236,Yemen,26737317
237,Zambia,15066266
238,Zimbabwe,14229541
